,default,torch_initweight/pixelrl.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_169.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_200.pth,fcn_30000eps_5steps_0.001lr_0.95gamma/checkpoint_101.pth
0,617.40625,618.03125,618.1875,617.4375,617.96875
1,693.6875,694.875,694.78125,693.6875,694.625
2,662.5,663.375,663.09375,662.46875,663.0
3,619.875,620.90625,620.84375,619.875,620.875
4,638.875,639.625,639.59375,638.84375,639.8125
5,673.28125,674.125,674.03125,673.28125,674.09375
6,692.9375,693.53125,693.46875,692.9375,693.6875
7,670.0,670.78125,670.9375,669.96875,670.90625
8,681.15625,682.03125,682.15625,681.15625,681.9375
9,641.25,642.21875,642.25,641.21875,641.9375
10,715.09375,715.8125,716.03125,715.09375,716.125
11,593.96875,594.75,594.71875,593.96875,594.625
12,699.21875,700.0625,700.0,699.21875,699.875
13,653.65625,654.46875,654.09375,653.65625,654.5625
14,626.9375,628.1875,627.96875,626.9375,628.15625
15,629.71875,630.53125,630.8125,629.71875,630.75
16,675.125,675.84375,675.75,675.125,675.6875
17,707.28125,707.65625,707.75,707.28125,707.78125
18,696.1875,696.96875,697.28125,696.1875,697.21875
19,639.40625,640.15625,640.125,639.40625,639.9375
20,666.8125,667.5625,667.46875,666.8125,667.8125
21,682.53125,683.03125,683.09375,682.53125,683.0625
22,636.34375,636.90625,637.0,636.3125,636.875
23,659.0,659.75,659.65625,658.9375,659.65625
24,652.40625,652.6875,653.09375,652.40625,652.90625
25,628.625,629.09375,629.0,628.625,629.03125
26,661.8125,662.25,662.21875,661.8125,662.15625
27,683.09375,683.625,683.78125,683.09375,683.53125
28,692.5625,693.15625,693.03125,692.5625,693.09375
29,689.28125,690.25,690.1875,689.28125,690.125
30,638.21875,638.90625,638.875,638.21875,638.84375
31,671.84375,672.34375,672.40625,671.84375,672.46875
32,644.46875,645.125,645.28125,644.46875,645.21875
33,673.25,673.90625,673.71875,673.21875,673.65625
34,660.40625,660.9375,661.09375,660.40625,660.9375
35,622.5625,623.125,623.21875,622.5625,623.40625
36,630.5,630.90625,631.03125,630.53125,630.9375
37,673.53125,674.1875,674.25,673.53125,674.3125
38,686.8125,687.46875,687.375,686.84375,687.4375
39,691.4375,691.90625,691.78125,691.4375,691.65625
40,702.6875,703.4375,703.40625,702.6875,703.46875
41,626.59375,627.21875,627.4375,626.59375,627.34375
42,662.59375,663.125,663.25,662.59375,663.21875
43,649.96875,650.84375,650.90625,649.96875,650.90625
44,681.65625,682.375,682.46875,681.6875,682.53125
45,666.5,667.375,667.4375,666.59375,667.375
46,599.90625,601.0,600.875,599.9375,601.0625
47,627.3125,628.03125,628.0,627.3125,628.03125
48,697.0625,698.03125,698.0,697.0625,697.78125
49,664.03125,664.8125,664.75,664.03125,664.875
50,708.8125,709.5625,709.3125,708.84375,709.5
51,687.78125,688.625,688.78125,687.84375,688.5
52,625.09375,625.9375,626.03125,625.09375,625.78125
53,686.65625,687.4375,687.53125,686.65625,687.65625
54,643.9375,644.65625,644.625,643.9375,644.3125
55,671.96875,672.15625,672.375,671.96875,672.40625
56,664.65625,665.03125,664.8125,664.65625,664.875
57,613.90625,614.65625,614.59375,613.90625,614.5
58,647.625,648.21875,648.09375,647.59375,647.96875
59,657.71875,658.4375,658.3125,657.71875,658.1875
60,692.34375,692.75,692.9375,692.34375,693.03125
61,672.5625,673.25,673.25,672.5625,673.09375
62,718.5625,719.375,719.28125,718.5625,719.375
63,614.40625,614.8125,614.625,614.375,614.6875
64,685.8125,686.375,686.4375,685.8125,686.375
65,742.0,743.0,743.0,742.0,743.0
