,default,torch_initweight/pixelrl.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_200.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_250.pth,fcn_30000eps_5steps_0.001lr_0.95gamma/checkpoint_101.pth
0,617.25,617.625,617.25,617.625,617.375
1,693.53125,694.25,693.53125,694.53125,694.59375
2,662.0625,662.96875,662.0625,663.0,662.5625
3,619.8125,620.21875,619.8125,620.28125,620.5
4,638.65625,639.28125,638.65625,639.71875,639.65625
5,673.25,673.375,673.25,673.40625,673.375
6,692.6875,692.78125,692.6875,692.28125,692.84375
7,669.65625,670.3125,669.65625,670.65625,670.5625
8,681.09375,681.25,681.09375,681.65625,681.40625
9,640.96875,641.25,640.96875,641.40625,642.03125
10,715.0625,715.21875,715.0625,715.75,715.40625
11,593.90625,594.4375,593.90625,594.40625,594.625
12,699.09375,700.21875,699.09375,699.46875,699.6875
13,653.34375,654.3125,653.34375,654.15625,654.25
14,627.15625,627.21875,627.15625,627.1875,627.65625
15,629.71875,630.3125,629.71875,630.21875,630.21875
16,674.9375,675.0,674.9375,675.15625,675.28125
17,706.8125,707.625,706.8125,707.625,706.96875
18,696.03125,696.90625,696.03125,696.625,696.0
19,639.28125,639.6875,639.28125,639.65625,639.75
20,666.625,667.6875,666.65625,667.5,667.53125
21,682.09375,682.3125,682.15625,682.75,682.71875
22,636.1875,636.6875,636.09375,636.65625,636.6875
23,658.65625,659.53125,658.75,659.34375,659.46875
24,651.75,652.4375,651.71875,652.84375,652.34375
25,627.96875,628.78125,627.96875,628.84375,629.03125
26,661.0625,662.15625,660.84375,661.90625,662.25
27,682.84375,683.0625,682.90625,682.8125,683.15625
28,692.28125,692.78125,692.3125,692.53125,692.5625
29,689.4375,689.8125,689.375,689.75,689.9375
30,638.15625,638.28125,638.25,638.25,637.96875
31,671.78125,672.21875,671.625,671.96875,672.15625
32,643.59375,644.875,643.5625,644.875,644.125
33,672.65625,672.96875,672.65625,673.5,672.875
34,659.90625,660.375,659.90625,660.34375,660.4375
35,622.0625,622.25,622.0625,622.375,622.21875
36,630.0,630.53125,630.0,630.0625,630.4375
37,673.09375,673.90625,673.09375,674.0625,673.40625
38,686.375,686.53125,686.40625,686.3125,686.875
39,690.34375,690.875,690.34375,691.40625,691.09375
40,702.25,702.46875,702.25,702.96875,702.625
41,625.96875,626.78125,625.96875,626.4375,626.96875
42,661.78125,662.59375,661.78125,662.375,662.28125
43,649.90625,650.34375,649.84375,649.65625,650.34375
44,681.125,682.3125,681.09375,682.40625,682.3125
45,666.375,667.0,666.125,666.8125,667.25
46,599.90625,600.53125,599.96875,600.125,600.625
47,627.09375,627.84375,627.09375,627.875,628.0
48,696.78125,697.34375,696.5,697.5625,696.96875
49,663.96875,663.78125,663.9375,664.03125,664.0625
50,708.6875,709.09375,708.71875,709.1875,709.21875
51,687.84375,688.0625,687.65625,688.25,688.25
52,625.0625,625.5,625.125,625.40625,625.0
53,686.40625,686.625,686.4375,687.25,686.65625
54,643.65625,643.9375,643.6875,643.96875,644.15625
55,671.09375,671.71875,671.09375,671.6875,671.59375
56,663.375,664.3125,663.625,664.6875,664.46875
57,612.9375,613.71875,613.15625,614.15625,613.84375
58,647.09375,648.03125,647.09375,648.0625,647.6875
59,657.3125,657.59375,657.3125,657.875,657.6875
60,691.65625,691.78125,691.5625,692.28125,692.28125
61,672.0625,672.875,672.0625,672.6875,672.625
62,718.09375,718.375,718.03125,718.59375,718.5625
63,613.46875,614.34375,613.53125,614.375,614.25
64,685.1875,685.375,685.1875,685.625,685.8125
65,742.0,742.5,742.0,743.0,741.5
