,default,torch_initweight/pixelrl.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_200.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_250.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_297.pth
0,604.46875,616.34375,604.375,615.84375,616.59375
1,683.59375,692.53125,683.75,693.375,691.71875
2,657.4375,660.71875,657.53125,661.3125,661.34375
3,613.46875,619.65625,613.375,619.65625,620.0625
4,624.625,638.65625,624.78125,639.25,639.25
5,665.65625,672.34375,665.625,673.125,673.40625
6,685.5,691.09375,685.4375,690.8125,690.5
7,663.96875,669.0625,663.96875,669.625,669.5
8,675.5625,679.875,675.59375,681.21875,678.96875
9,633.9375,640.4375,633.9375,641.125,640.21875
10,703.90625,713.21875,703.6875,713.4375,714.03125
11,590.25,592.625,590.28125,593.65625,593.375
12,694.71875,698.71875,694.59375,697.46875,698.3125
13,653.40625,652.25,653.40625,651.4375,653.4375
14,623.71875,625.03125,623.71875,627.09375,626.53125
15,622.5625,629.96875,622.8125,630.25,629.84375
16,671.96875,674.59375,672.125,675.09375,674.84375
17,700.71875,705.90625,700.59375,706.5,705.5625
18,693.59375,695.125,693.5625,696.5625,695.34375
19,636.71875,638.9375,636.6875,638.90625,639.6875
20,665.03125,667.03125,665.09375,666.375,667.5625
21,672.90625,682.15625,672.625,682.6875,681.78125
22,621.21875,632.5625,621.25,635.375,633.9375
23,653.03125,657.03125,653.46875,655.6875,655.75
24,644.40625,650.28125,645.25,651.28125,650.78125
25,621.46875,626.96875,621.53125,626.59375,626.75
26,651.28125,660.71875,651.21875,661.09375,660.84375
27,677.25,681.28125,677.4375,682.3125,682.5
28,683.71875,690.65625,683.46875,690.625,690.71875
29,681.3125,684.6875,682.34375,688.53125,686.90625
30,636.03125,636.65625,636.9375,635.0,636.15625
31,661.0625,669.8125,662.15625,670.40625,669.96875
32,632.09375,642.78125,631.875,641.3125,641.28125
33,667.0625,672.78125,666.84375,672.8125,672.40625
34,657.3125,658.03125,657.3125,659.46875,659.46875
35,620.8125,621.96875,621.03125,621.65625,622.28125
36,622.625,629.9375,622.5625,629.625,629.6875
37,667.125,672.75,668.71875,673.03125,673.53125
38,680.90625,686.65625,682.1875,685.9375,686.09375
39,683.15625,690.09375,683.71875,690.75,689.5625
40,699.84375,701.96875,699.8125,702.59375,699.78125
41,625.0625,625.53125,625.125,626.78125,626.875
42,657.90625,662.46875,657.375,662.46875,661.875
43,642.46875,648.6875,640.78125,649.3125,648.375
44,676.65625,679.8125,677.53125,681.90625,681.6875
45,665.59375,666.15625,665.0625,665.75,664.1875
46,598.75,599.53125,598.59375,599.40625,599.53125
47,617.03125,626.5625,616.15625,626.875,626.21875
48,695.40625,697.25,692.0625,697.125,697.09375
49,658.625,663.9375,660.28125,662.625,662.21875
50,707.375,706.59375,707.375,708.03125,707.625
51,684.28125,687.75,683.75,686.15625,688.28125
52,624.5,624.65625,624.53125,625.03125,625.09375
53,682.0,686.34375,681.25,686.3125,686.65625
54,630.71875,642.53125,630.625,641.15625,641.0
55,655.46875,670.875,655.4375,670.53125,670.90625
56,659.65625,662.53125,659.75,662.0625,661.53125
57,608.40625,611.65625,608.3125,612.3125,613.34375
58,635.34375,646.4375,635.03125,647.3125,646.03125
59,646.40625,656.21875,646.25,657.03125,657.53125
60,685.0,689.84375,684.1875,689.78125,691.40625
61,666.625,670.84375,666.84375,671.09375,671.375
62,714.25,714.34375,714.1875,717.78125,716.59375
63,607.21875,613.75,607.0,613.625,613.96875
64,674.25,683.03125,674.28125,683.21875,683.71875
65,740.0,742.0,740.0,742.0,741.5
