,default,torch_initweight/pixelrl.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_169.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_200.pth,fcn_30000eps_5steps_0.001lr_0.95gamma/checkpoint_101.pth
0,617.40625,618.0,617.96875,617.4375,617.9375
1,693.6875,694.875,694.6875,693.6875,694.71875
2,662.5,663.21875,663.28125,662.46875,663.53125
3,619.875,620.875,620.875,619.875,620.78125
4,638.875,639.75,639.75,638.84375,639.65625
5,673.28125,674.0,674.25,673.28125,674.3125
6,692.9375,693.5625,693.3125,692.9375,693.5625
7,670.0,670.875,670.78125,669.96875,670.4375
8,681.15625,681.96875,681.875,681.15625,681.8125
9,641.25,642.25,642.125,641.21875,641.78125
10,715.09375,715.9375,715.8125,715.09375,715.84375
11,593.96875,594.71875,594.84375,593.96875,594.75
12,699.21875,699.96875,700.25,699.21875,700.125
13,653.65625,654.28125,654.59375,653.65625,654.625
14,626.9375,627.8125,627.8125,626.9375,628.03125
15,629.71875,630.625,630.78125,629.71875,630.65625
16,675.125,675.625,675.78125,675.125,675.6875
17,707.28125,707.375,707.4375,707.28125,707.75
18,696.1875,697.09375,697.09375,696.1875,697.25
19,639.40625,640.03125,640.28125,639.40625,640.1875
20,666.8125,667.59375,667.71875,666.8125,667.75
21,682.53125,683.3125,683.3125,682.53125,682.875
22,636.34375,637.0,636.96875,636.3125,636.9375
23,659.0,659.46875,659.59375,658.9375,659.65625
24,652.40625,652.84375,652.65625,652.40625,652.9375
25,628.625,629.125,629.15625,628.625,629.0625
26,661.8125,662.21875,662.09375,661.8125,662.15625
27,683.09375,683.8125,683.84375,683.09375,683.65625
28,692.5625,692.84375,693.03125,692.5625,692.96875
29,689.28125,690.28125,690.0625,689.28125,690.1875
30,638.21875,638.96875,638.84375,638.21875,638.90625
31,671.84375,672.375,672.4375,671.84375,672.1875
32,644.46875,645.21875,645.25,644.46875,645.21875
33,673.25,673.625,674.03125,673.21875,673.65625
34,660.40625,661.0,661.1875,660.40625,661.03125
35,622.5625,623.125,623.34375,622.5625,623.46875
36,630.5,630.9375,630.78125,630.53125,630.90625
37,673.53125,674.25,674.03125,673.53125,674.0625
38,686.8125,687.34375,687.4375,686.84375,687.3125
39,691.4375,691.84375,691.6875,691.4375,691.78125
40,702.6875,703.5,703.4375,702.6875,703.46875
41,626.59375,627.25,627.3125,626.59375,627.3125
42,662.59375,663.25,663.125,662.59375,663.3125
43,649.96875,650.6875,650.8125,649.96875,650.84375
44,681.65625,682.21875,682.34375,681.6875,682.25
45,666.5,667.34375,667.46875,666.59375,667.40625
46,599.90625,600.875,601.03125,599.9375,601.0
47,627.3125,628.0,628.0625,627.3125,628.0
48,697.0625,697.78125,697.78125,697.0625,697.75
49,664.03125,664.75,664.875,664.03125,664.875
50,708.8125,709.5625,709.75,708.84375,709.53125
51,687.78125,688.75,688.625,687.84375,688.65625
52,625.09375,625.71875,625.75,625.09375,625.96875
53,686.65625,687.6875,687.5625,686.65625,687.625
54,643.9375,644.5625,644.625,643.9375,644.625
55,671.96875,672.40625,672.40625,671.96875,672.34375
56,664.65625,665.15625,664.9375,664.65625,664.65625
57,613.90625,614.46875,614.5625,613.90625,614.53125
58,647.625,648.15625,648.125,647.59375,648.1875
59,657.71875,658.28125,658.53125,657.71875,658.4375
60,692.34375,693.0,693.0,692.34375,693.03125
61,672.5625,673.1875,673.3125,672.5625,673.40625
62,718.5625,719.28125,719.25,718.5625,719.1875
63,614.40625,614.8125,614.78125,614.375,614.75
64,685.8125,686.59375,686.46875,685.8125,686.53125
65,742.0,743.0,743.0,742.0,743.0
