,default,torch_initweight/pixelrl.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_200.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_250.pth,fcn_30000eps_5steps_0.001lr_0.95gamma/checkpoint_101.pth
0,617.25,617.96875,617.25,617.96875,617.53125
1,693.53125,694.25,693.53125,694.4375,694.375
2,662.0625,662.96875,662.0625,662.84375,662.53125
3,619.8125,620.46875,619.8125,620.40625,620.09375
4,638.65625,639.6875,638.65625,639.4375,639.6875
5,673.25,673.75,673.25,673.75,673.28125
6,692.6875,692.875,692.6875,692.9375,692.59375
7,669.65625,670.1875,669.65625,670.4375,670.6875
8,681.09375,681.40625,681.09375,681.875,681.71875
9,640.96875,641.6875,640.96875,642.0625,641.5625
10,715.0625,715.25,715.0625,715.28125,714.71875
11,593.90625,594.28125,593.90625,594.4375,594.65625
12,699.09375,699.9375,699.09375,699.875,699.6875
13,653.34375,654.25,653.34375,654.34375,654.40625
14,627.15625,627.375,627.15625,627.625,627.6875
15,629.71875,630.21875,629.71875,630.3125,630.59375
16,674.9375,675.3125,674.9375,675.09375,675.375
17,706.8125,707.46875,706.8125,707.0625,707.25
18,696.03125,697.0625,696.03125,696.03125,695.84375
19,639.28125,639.6875,639.28125,639.09375,639.875
20,666.625,667.4375,666.65625,667.4375,667.46875
21,682.09375,682.65625,682.15625,682.5625,682.78125
22,636.1875,636.53125,636.09375,636.71875,636.78125
23,658.65625,659.15625,658.75,659.34375,659.59375
24,651.75,652.59375,651.71875,652.25,652.4375
25,627.96875,628.9375,627.96875,628.8125,628.46875
26,661.0625,662.15625,660.84375,662.03125,661.90625
27,682.84375,683.0625,682.90625,682.90625,682.6875
28,692.28125,692.40625,692.3125,692.625,692.53125
29,689.4375,689.5625,689.375,689.375,689.71875
30,638.15625,638.3125,638.25,638.28125,637.65625
31,671.78125,672.125,671.625,672.125,671.90625
32,643.59375,644.8125,643.5625,644.8125,644.5625
33,672.65625,673.15625,672.65625,673.46875,673.53125
34,659.90625,660.1875,659.90625,660.59375,659.84375
35,622.0625,622.46875,622.0625,622.25,622.3125
36,630.0,630.6875,630.0,630.34375,630.3125
37,673.09375,673.71875,673.09375,673.90625,673.90625
38,686.375,686.65625,686.375,686.875,686.59375
39,690.34375,691.28125,690.34375,690.6875,691.46875
40,702.25,702.5,702.25,702.75,702.875
41,625.96875,626.625,625.96875,626.90625,626.90625
42,661.78125,662.34375,661.78125,662.84375,662.59375
43,649.90625,650.0625,649.84375,650.0625,649.90625
44,681.125,682.28125,681.09375,682.375,682.28125
45,666.375,667.09375,666.125,667.1875,666.96875
46,599.90625,600.03125,599.96875,600.78125,600.375
47,627.09375,627.875,627.09375,627.875,627.71875
48,696.78125,697.375,696.5,697.125,697.59375
49,663.96875,663.90625,663.9375,664.25,664.28125
50,708.6875,709.4375,708.71875,709.375,709.46875
51,687.84375,688.0625,687.65625,688.4375,687.84375
52,625.0625,625.34375,625.125,625.40625,625.6875
53,686.40625,687.09375,686.4375,686.4375,686.9375
54,643.65625,644.53125,643.6875,644.21875,644.15625
55,671.09375,671.78125,671.09375,672.21875,671.5
56,663.375,664.09375,663.625,664.46875,664.375
57,612.9375,614.0,613.15625,613.9375,613.8125
58,647.09375,647.78125,647.09375,647.46875,647.625
59,657.3125,657.9375,657.3125,657.53125,657.65625
60,691.65625,691.5,691.5625,691.15625,692.34375
61,672.0625,672.0,672.0625,672.96875,672.71875
62,718.09375,718.4375,718.03125,718.53125,718.46875
63,613.46875,614.21875,613.53125,614.28125,614.0625
64,685.1875,685.78125,685.1875,685.34375,685.65625
65,742.0,743.0,742.0,742.5,742.5
