,default,torch_initweight/pixelrl.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_200.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_250.pth,fcn_with_pretrained_pixelrl_30000eps_5steps_0.001lr_0.95gamma/checkpoint_297.pth
0,604.46875,614.78125,604.375,615.96875,615.9375
1,683.59375,693.21875,683.75,693.28125,693.34375
2,657.4375,660.78125,657.53125,661.5625,661.09375
3,613.46875,619.21875,613.375,619.46875,619.6875
4,624.625,638.875,624.78125,638.96875,638.875
5,665.65625,671.5625,665.59375,673.40625,673.03125
6,685.5,691.125,685.4375,691.25,691.90625
7,663.96875,669.28125,663.96875,668.40625,669.34375
8,675.5625,679.40625,675.59375,680.96875,678.28125
9,633.9375,640.15625,633.9375,640.5,640.28125
10,703.90625,713.6875,703.6875,713.09375,712.375
11,590.25,593.21875,590.28125,593.4375,593.84375
12,694.71875,698.28125,694.59375,699.3125,699.3125
13,653.40625,651.625,653.40625,653.84375,653.46875
14,623.71875,627.0625,623.71875,626.53125,627.625
15,622.5625,629.59375,622.8125,629.03125,629.1875
16,671.96875,674.46875,672.125,674.6875,674.65625
17,700.71875,705.96875,700.59375,706.21875,705.625
18,693.59375,696.0,693.5625,695.84375,695.1875
19,636.71875,638.28125,636.6875,638.6875,639.1875
20,665.03125,666.96875,665.09375,667.25,666.96875
21,672.90625,681.3125,672.625,680.4375,681.3125
22,621.21875,633.46875,621.25,633.9375,633.59375
23,653.03125,657.03125,653.46875,656.71875,655.75
24,644.40625,649.8125,645.25,651.25,649.96875
25,621.46875,626.53125,621.53125,627.5625,626.4375
26,651.28125,659.8125,651.21875,660.875,661.0
27,677.25,679.78125,677.4375,681.9375,680.40625
28,683.71875,691.1875,683.46875,689.71875,689.8125
29,681.3125,687.78125,682.34375,688.53125,687.21875
30,636.03125,636.46875,636.9375,637.0,636.09375
31,661.0625,669.625,662.15625,670.46875,669.9375
32,632.09375,643.375,631.875,643.03125,642.59375
33,667.0625,672.4375,666.84375,671.96875,672.4375
34,657.3125,658.6875,657.3125,659.25,659.875
35,620.8125,621.6875,621.03125,622.65625,622.5
36,622.625,629.84375,622.5625,630.53125,629.59375
37,667.125,672.6875,668.71875,673.1875,673.15625
38,680.90625,686.3125,682.1875,686.28125,686.46875
39,683.15625,688.5625,683.71875,688.8125,689.4375
40,699.84375,701.5,699.8125,700.96875,702.15625
41,625.0625,626.71875,625.125,626.65625,625.3125
42,657.90625,662.25,657.375,662.0,661.96875
43,642.46875,648.9375,640.78125,648.40625,649.5
44,676.65625,680.84375,677.53125,680.8125,681.6875
45,665.59375,666.1875,665.0625,666.03125,665.8125
46,598.75,599.96875,598.59375,599.46875,599.75
47,617.03125,626.125,616.15625,626.46875,626.78125
48,695.40625,697.0625,692.0625,697.1875,697.03125
49,658.625,663.1875,660.28125,663.53125,663.09375
50,707.375,707.59375,707.375,708.25,707.8125
51,684.28125,686.03125,683.75,687.53125,687.625
52,624.5,625.53125,624.53125,625.03125,625.375
53,682.0,686.3125,681.25,686.75,686.3125
54,630.71875,640.8125,630.625,641.9375,643.53125
55,655.46875,670.03125,655.4375,670.65625,669.25
56,659.65625,662.875,659.75,662.1875,661.875
57,608.40625,611.34375,608.3125,612.96875,613.5625
58,635.34375,646.90625,635.03125,646.3125,646.09375
59,646.40625,656.78125,646.25,657.1875,655.75
60,685.0,691.4375,684.1875,690.6875,689.09375
61,666.625,670.5625,666.84375,671.90625,670.65625
62,714.25,716.84375,714.1875,717.34375,716.0625
63,607.21875,613.3125,607.0,613.03125,613.1875
64,674.25,681.59375,674.28125,682.53125,682.4375
65,740.0,735.5,740.0,742.0,742.5
